idlocacao;filme;genero;data;dias;midia
2;UM SONHO DE LIBERDADE;DRAMA;2018-01-02 00:00:00;1;56
3;UM SONHO DE LIBERDADE;DRAMA;2018-02-07 00:00:00;3;23
4;OS BAD BOYS;AÇÃO;2018-02-02 00:00:00;1;43
5;KILL BILL I;AVENTURA;2018-02-02 00:00:00;2;23
6;CADILLAC RECORDS;DRAMA;2018-03-07 00:00:00;3;76
7;CADILLAC RECORDS;DRAMA;2018-03-02 00:00:00;1;45
8;KILL BILL I;AVENTURA;2018-04-08 00:00:00;3;89
9;O HOBBIT;FANTASIA;2018-04-02 00:00:00;3;23
10;OS BAD BOYS;AÇÃO;2018-05-07 00:00:00;3;23
11;O HOBBIT;FANTASIA;2018-05-02 00:00:00;3;38
12;KILL BILL I;AVENTURA;2018-01-10 00:00:00;1;56
13;UM SONHO DE LIBERDADE;DRAMA;2018-06-12 00:00:00;3;23
14;SENHOR DOS ANEIS;FANTASIA;2018-01-02 00:00:00;2;56
15;SENHOR DOS ANEIS;FANTASIA;2018-04-10 00:00:00;3;76
16;UM SONHO DE LIBERDADE;DRAMA;2018-01-09 00:00:00;2;32
17;KILL BILL I;AVENTURA;2018-08-02 00:00:00;3;89
18;DRACULA;SUSPENSE;2018-01-02 00:00:00;1;23
19;SENHOR DOS ANEIS;FANTASIA;2018-08-09 00:00:00;3;45
20;UM SONHO DE LIBERDADE;DRAMA;2018-01-12 00:00:00;1;89
21;CORRIDA MORTAL;AÇÃO;2018-09-07 00:00:00;3;23
22;CORRIDA MORTAL;AÇÃO;2018-01-12 00:00:00;3;21
23;KILL BILL I;AVENTURA;2018-01-02 00:00:00;2;34
24;CORRIDA MORTAL;AÇÃO;2018-09-08 00:00:00;1;67
25;CORRIDA MORTAL;AÇÃO;2018-01-02 00:00:00;3;76
26;DRACULA;SUSPENSE;2018-01-02 00:00:00;3;66
27;UM SONHO DE LIBERDADE;DRAMA;2018-09-12 00:00:00;1;90
28;KILL BILL I;AVENTURA;2018-03-02 00:00:00;3;23
29;CORRIDA MORTAL;AÇÃO;2018-01-12 00:00:00;5;65
30;CORRIDA MORTAL;AÇÃO;2018-03-08 00:00:00;1;43
31;DRACULA;SUSPENSE;2018-01-02 00:00:00;31;27
32;SENHOR DOS ANEIS;FANTASIA;2019-02-27 05:49:41.84317;7;100
33;DRACULA;SUSPENSE;2019-02-27 05:51:39.616005;1;500
34;OS BAD BOYS;AÇÃO;2019-02-27 05:51:39.616005;6;800
